"","when","temperature","wind_speed","wind_dir","rel_humidity","pressure","solar_radiation","rainfall"
"1",2015-01-01 00:00:00,-9.32,1.399,225.4,54.55,985,0,0
"2",2015-01-01 00:10:00,-9.46,1.506,248.2,55.38,985,0,0
"3",2015-01-01 00:20:00,-9.44,1.62,258.3,56.18,985,0,0
"4",2015-01-01 00:30:00,-9.3,1.141,243.8,56.41,985,0,0
"5",2015-01-01 00:40:00,-9.32,1.223,238.4,56.87,984,0,0
"6",2015-01-01 00:50:00,-9.34,1.09,241.7,57.25,984,0,0
"7",2015-01-01 01:00:00,-9.3,1.168,242.3,57.71,984,0,0
"8",2015-01-01 01:10:00,-9.1,1.307,244.2,58.16,984,0,0
"9",2015-01-01 01:20:00,-9.07,1.312,225.9,58.96,984,0,0
"10",2015-01-01 01:30:00,-8.99,1.813,220,59.29,984,0,0
"11",2015-01-01 01:40:00,-9.07,1.784,222.3,59.39,984,0,0
"12",2015-01-01 01:50:00,-9.26,1.424,221.8,60,984,0,0
"13",2015-01-01 02:00:00,-9.38,1.34,234.9,60.34,984,0,0
"14",2015-01-01 02:10:00,-9.36,1.522,224.8,61.1,984,0,0
"15",2015-01-01 02:20:00,-9.3,1.569,226.6,61.78,984,0,0
"16",2015-01-01 02:30:00,-9.27,1.496,232.1,62.01,983,0,0
"17",2015-01-01 02:40:00,-9.27,1.775,222.6,62.03,983,0,0
"18",2015-01-01 02:50:00,-9.29,1.903,219.2,62.46,983,0,0
"19",2015-01-01 03:00:00,-9.2,1.907,208.8,62.98,983,0,0
"20",2015-01-01 03:10:00,-9.22,1.908,209.8,63.01,983,0,0
"21",2015-01-01 03:20:00,-9.43,1.641,224.7,63.63,983,0,0
"22",2015-01-01 03:30:00,-9.89,1.019,231.4,64.62,983,0,0
"23",2015-01-01 03:40:00,-10.12,1.272,239,64.8,983,0,0
"24",2015-01-01 03:50:00,-10.12,1.342,240.2,65.14,983,0,0
"25",2015-01-01 04:00:00,-10.14,1.524,249.7,65.52,983,0,0
"26",2015-01-01 04:10:00,-10.09,1.652,241.8,65.71,982,0,0
