,name,year,month,day,hour,lat,long,pressure,wind,type,seasday
1,Allison,1995,6,3,0,17.4,-84.3,1005,30,Tropical Depression,3
2,Allison,1995,6,3,6,18.3,-84.9,1004,30,Tropical Depression,3
3,Allison,1995,6,3,12,19.3,-85.7,1003,35,Tropical Storm,3
4,Allison,1995,6,3,18,20.6,-85.8,1001,40,Tropical Storm,3
5,Allison,1995,6,4,0,22,-86,997,50,Tropical Storm,4
6,Allison,1995,6,4,6,23.3,-86.3,995,60,Tropical Storm,4
7,Allison,1995,6,4,12,24.7,-86.2,987,65,Hurricane,4
8,Allison,1995,6,4,18,26.2,-86.2,988,65,Hurricane,4
9,Allison,1995,6,5,0,27.6,-86.1,988,65,Hurricane,5
10,Allison,1995,6,5,6,28.5,-85.6,990,60,Tropical Storm,5
11,Allison,1995,6,5,12,29.6,-84.7,990,60,Tropical Storm,5
12,Allison,1995,6,5,18,30.7,-83.8,993,45,Tropical Storm,5
13,Allison,1995,6,6,0,31.8,-82.8,993,30,Tropical Depression,6
14,Allison,1995,6,6,6,32.7,-81.5,994,35,Extratropical,6
15,Allison,1995,6,6,12,33.6,-80,995,35,Extratropical,6
16,Allison,1995,6,6,18,34.5,-78.1,995,40,Extratropical,6
17,Allison,1995,6,7,0,35.6,-75.9,992,40,Extratropical,7
18,Allison,1995,6,7,6,37.1,-73.6,990,45,Extratropical,7
19,Allison,1995,6,7,12,38.5,-71,988,45,Extratropical,7
20,Allison,1995,6,7,18,39.8,-69.2,984,45,Extratropical,7
21,Allison,1995,6,8,0,41,-67.7,982,50,Extratropical,8
22,Allison,1995,6,8,6,42.4,-66,984,50,Extratropical,8
23,Allison,1995,6,8,12,43.8,-63.7,989,50,Extratropical,8
24,Allison,1995,6,8,18,45.2,-61.2,993,45,Extratropical,8
25,Allison,1995,6,9,0,46.5,-58.5,995,40,Extratropical,9
26,Allison,1995,6,9,6,48.1,-55.9,996,40,Extratropical,9
27,Allison,1995,6,9,12,50,-53,997,40,Extratropical,9
28,Allison,1995,6,9,18,53,-52,1000,40,Extratropical,9
29,Allison,1995,6,10,0,57,-52,997,40,Extratropical,10
30,Allison,1995,6,10,6,60,-52,990,40,Extratropical,10
